hash,dungeon_id,keystone_level,duration,timestamp,faction,members
c69e9e6592268bd8200040277a0a9b859f29f752869f0dd1e561785d473999b6,499,9,2125928,1741808236000,HORDE,ed1ef2a7e1f6efed9974ff10c89918c86ac352e883a5910be362bdbc6c1c1146;b163c5ba9d5610fc6fb40ece1bcf9cfd7a9da0f83c6d2fb08ed9bf6d5b3c7587;2639dab1ff0fa81cc98b9c58d1081c07257f1c7afe90d56c19adb4d17e777305;6334a846052575fe704b2f4daf822806c01383f15031537c62c81385e3761ec4;7436ee35be85bc67683bf650c073480049ae0e6077ff4c34bc634bcc6ec3f7be
5cfd50e554c8e810bd4ba0297f447ff4eeee11440a1a1b559de20f1e386e6216,499,9,2160238,1741841133000,ALLIANCE,a9133845f05895ed10faf53f88033945cda01d570bff968c0b4b40d530da710b;de574d28d96524aac914d14bfd0a2660b8865e450632113b6fee68efd48f0818;a7e9d098c187c151406ab4a56b17dd419fea46a06851338e8a3e20e89ccb5196;2427f5783431b51a037eedd84f9f0682cffd51cfa48615a07fc2ebcef6853613;f2020156f586c93bb362df374ef311dfe20c094e312f8fb4a98d7530281c4658
bda3656655ed8a23f72376c352236ed807f54bdb1a6022874ccf9f83817fdaa6,500,10,1880692,1742270041000,ALLIANCE,84996855ee161d09bc27e81223ee8f299a754cb0c7f46d0b89313e508d2b445d;eda444800ab8b837986952855c005c6e65bd91606ebe374afd6a2a4d242cdcec;f58330efc9888e281af45e48e1bbe18ad0583cd2e905fa320b50d2571bb9d3fb;07fa2c27e23dfd48b631ac1fbab72d5d7ee632df437531ccb908a38d7e84feae;cbfbe76f73ad690eba434013c491bc732e8213cb73c7af66d36d25f26c52f7ef
43381a150864e28b788e775de331e3fec28559ac119001411c15810deb26a3c7,500,10,1886837,1741845724000,HORDE,55f1c52223529173900489242ba652c792f91e15633f4fb1483ce146c27fc12f;b163c5ba9d5610fc6fb40ece1bcf9cfd7a9da0f83c6d2fb08ed9bf6d5b3c7587;a75abdab83e5bd7ec3bf2c07d1bba2c99d5e2f1dd3818244ff9fef7093c439ba;a1c3553d397a02cd311992ea5ca769e56f4ed5a98bda847949dcbb95619be863;d7f592b6282c6d1f39d6d8410cb12d57642f2d31a63729a6585c4bafb453cd56
53ed4342bf42e8334d1252d7feaef201f51efd175862bba58e88dee496b876a5,500,10,1952929,1741844776000,HORDE,7d5d13112833c81cf30693c899ae716d0b931c58ae5ebdb1f57d62cb45c05833;f39303bd98cbe910d770ace10ed95fb27fc4f6070a62da4a54614922c2552f9c;d90d7748ca23d479f30a0d043ca29e92635558a04d3ed3889d7a6cf1444cdf97;1839f8d8e135f97a25ba337c7f0f8e9411d0736cdd64201976a00b0aa2371baa;b93cea2375cdc1f419a05f686a58273d070ae6ffe56858eb5a216cb64d6b534c
986c0a8a3a0401b7ba8792fd4c5712d5c187551f83404c47e5a046a51e99e76c,504,10,1970567,1742096707000,ALLIANCE,76ccb1ff7f3ff5b21085f5815b6957dae28cc8f09681aa08206f64f52d2e9024;6a44225c4e2cd8741cda050ace1463bf8a1abf8c02301760ba20328ff1342896;2f332a8ff17db9f8fea3dffcdd60a8274b60a4ae9262dad92c4f32ca91e54769;8afccf372183e4d18729f1b1aa17606ac74a09a1035d87299f123b04d54a511b;511fca601ed4212a399e927d1eefe7039ade5780ebdb1a8f6dc8105dc5aefb1e
1f9435ebdcdbd3331c584fcb2f988482b011fb1160079cbd6cebc0734fc7fffe,504,10,2494665,1742178694000,ALLIANCE,f54a80fdbe96214317264998cd908a6c2db69bd9943cf9ec372bf78f1fc26b6c;9acb6b5881627b818e1a105ad5123f3ad01af6a49148d93697f715907d933f40;b74c9cd881a6e277c8b6419e8fe74d64bfd887954962720a678bd284b533cad2;ad07d3bb0c7b6ef597b95a2a08cebb2727b3d70490df6bc1b79ff5e0f78b5b5c;575ad293d7aa9b2c8cd0b8514f3cae9ea049fe3e4edc4bb61d1df491a45788c0
a3655ff1ae3ae7053917a47234d16d45c52422667abb9df284cd114f6575d74b,504,10,2510652,1742263548000,HORDE,373d832f32369d6c76ec932d63005bad7a7654146398c14d72d70aa786897770;1d37f6f8e042360c0974f818cb7babc8d2e72743393ff0d713b5cb6f0cdbd55a;74428d357c1983b79979459eba868babc5f2a121c3cd58ac28b9038408bf5d36;d9a361edf46b15273f5b1d358d25ea3497ac7806f79030008746efc2a713bb34;fadbdb82d3728f0aa53ef0ff4923f4c07bfcbfde3396bbdd48eb651ee6b32dfb
b5acb765f6ddfcc27d741d8cbaf7997cb43e216aab15f4f58b888fed6a5ca9c4,504,10,2940033,1742169639000,ALLIANCE,78edcfc4e7be14dec0daa1d77a49ef4fb3965eb102ae15b6274b065df1728925;ae79b8fd6dfccac5b744b6e81660ad6e18b957f780d44fccd8b8b71e37c1da2f;80d0ea2c8473cff449290558e66fc7d9d0b8643e059ddc8d2b78bbef63431a62;d36ffd7e1e313516fd479d6bb9e3473884426fa4b839fa852bbb5fb9f28b1831;64fabaa18534b681a8ba977259a57820fbfd74918958f1027f0b2ce7c80a4ea5
d72d59d42e137f5c0b1bc4394f435379e46ede2360fad53109e5e663c8848cd6,504,10,4886488,1742056028000,ALLIANCE,b74c9cd881a6e277c8b6419e8fe74d64bfd887954962720a678bd284b533cad2;91a16ac611e5b47bd3ef145aba4e4309d668d280b1993064d2d8cb3c8c6610b3;f43844146945b0da37c1238e7b3050b6583ccc889d581f93958e9882cfe329fe;1addc02a7352bc5d6d91684934eb6ce4efa22eafcc5cfb396bf0d6071aefd41f;8fc86d6f9b4399ee913e8e595e31b19beef694429fe0461255b3b0005b3065d1
54e5ad5bdc557abe3bb4113bf8089da8e317504a41a15626785294b9a42ff491,504,9,1249289,1741903617000,ALLIANCE,67254de2dfca8f1f9be5bcb6e94630588e7637682d559b50ea5ca9f679359ea6;b3f6bc88d70dc0464c33d9d7429abc72a78dd5030c2049ff9551d862ee68d01a;83856b3ceba2c856e231b52f242fe7a8011ec439903bf718e45095a9da6728af;090ccbbe4ac1730dbfa45896fc35816c9bc53a16ac21c6dc33f79cc241ee0145;f22854c63792916790b0f8a913a81e75c4f19739819e960fa16192a77b84e8ce
cd905d731b238698dfee9108b59d866b66bd06de31b66b5450ba69a827aae9aa,504,9,1273977,1742271080000,ALLIANCE,1f316bf4cca867b6d018e83ee5661cb5d8369318fbf6273df1daadfd0792eb7b;04ba818ef2a72a4472a470434f8b81a203ceadfea3f2d506fd648ee32f1cd86c;1f0946b4c7e5c0099d4f63db1fe8829043493eccc397557cb98e6ac374e249b1;ffec1b487e63dd846f234d16bdcb537237b1c2dc85292d3d2fdca9af282a8cd3;241f16b4a11bf0327d5d9585c55439a885f76bbc8840a62a186e10ac43d8db82
63812cef4832b89ee458483f9fbf7990b079bfe6e57a142f8a55eaad7a6cc5c5,504,9,1295750,1742070256000,ALLIANCE,5d928431e3db637a019c6f61cff56997b52c294c37cd76aa2f3374ca9fc66b3d;9c4cb84e171e25aedb2d5844599fdcb9d93265aae5bbc73ddaa550b9b7c3dec7;8d5fecfbf8881ec4ab27f2ed20016ae04ff142e20c78c46a5393c20d1c94d9ec;90a9b7987aba708331446404addbc5f4568d2b18de1e3bd38eec1e6f2614484b;84bf3f6145579bfda4f1cff4842a9e13939648c062d9e7846ab22476b9b867ed
5b388e7657f4f2286f2cbcf65e4a25f9befa4b938a42f2a393ca0aa93956ad18,504,9,1432055,1742071850000,HORDE,846bcc9ee8c6e0c5bc4d7c86cf140af5be65b3a4f55c733ad04618e78f2417d1;dcb966a7f9840f5abb7c1e2569e818130118ba3a3c9d1a7dc52906ebb35c285d;eb43469539e81830109373b2c980db5c5066fb1f02cb9527be06dee4b659cc44;31ccb5bd0f97a342e2961b0e57e16c94fddb084b49d7cb1942608d6922807e67;26ba8cdde28f85f49fd87c19a48b0eff2a5e75c4ed7cc19edf8e96183919c477
8b5021ead7c67b9d8e1641edb54577735c76207b34b8e690cf9744f5e667db66,504,9,1441990,1741993562000,HORDE,0e09f61a0901f5d4d16bdf8d7caface67f92fca2bf3011cef302ef5cff5efaa6;d9023f6da67de0800defde8dd35692ab7dc0e0e7c31b7a03a51b9263e504638b;8e3ffdae99f90002ffa6f73c4abe4a1bd2d140bb4a6ea4074ba09d208aee53f8;3a280fb59bca5e2143804400d66a79126b0052e57435b89f6d453752374c72ef;df2be403b500a81b46a55945eb8b51a1093855a3b7bf79577135bc503fc911d1
840abc90f1c0d6f05adf700c54de1b7bfd9ebd7a44ea8f02662e9272bf588fa7,504,9,1443485,1741924910000,HORDE,d9fd373cb60a05be0eb02efe07c3ebfde00407be65baef3cfa0ac4f0243ea49b;85ae0ee408f37ecb5a049daa95dd1ca794006c4eefc5bb3c57e6505d175f8297;7a18982159545b7a7e89615325aed2acabb5c69a5d35d81717e9ce66871bc3fb;36b2c3ca2c2526177c51b84eea5c5004cdf4fcda659e17534c7229e5cb7d13a4;aa020289b35faacaaff7da10b16f369d88d778da623472b4f7bcba6809b36dee
46dab1aa49e83abb8543136e8870bc421eb7d804a11e7b8df810624a46be952d,506,9,2849658,1741712314000,HORDE,67dfe5497c2fe8f2fee2920a940bdc19fe2da0d1b8668c6abbf5e01b388f5d90;b74c9cd881a6e277c8b6419e8fe74d64bfd887954962720a678bd284b533cad2;9acb6b5881627b818e1a105ad5123f3ad01af6a49148d93697f715907d933f40;370daa45641219b0d51140ddafb3b47def8515c81c34242ad3875a6e84afc811
ab1c780513feb477de4637fa4995400dadee9f42259d43c072fa7b999f500cab,506,8,1353005,1742254880000,ALLIANCE,ea1d7089a12959bc3587140b6c83b0c6cb16b48af21f6b64300a0298dcd0f9db;54bfbf8f7a01b750a0b7bf858ed1ead8b7dc8db5c6e1bd085aa11ceed0316ddc;89984178abb599efcb196590218ef0e8218a587dcb88caa3bdf1b4b9eae2ca8c;0ed7d516a3a0daeeee51343455d36b25e6c3d41a4b7f3837e3731cce9fb891c1;24467a479c219e69c81fde2fac50cb518fb32992aa0b64a7ccd30190949bc130
